Santhali_word,English_words,Grammer,Audio_links
əliŋ bɑr hɔɽ ɑm dəbɑm,we2(notyou),pronoun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Pro32_F_we2.mp3
əɽə ~ əɽiɑ,word(orlanguage),noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_O7_F_word.mp3
ɛʈɑʔ,another,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj3_F_another.mp3
ɛʈet’,fence,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult15_F_fence.mp3
gɑi nɑhɑr,singer,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU52_F_singer.mp3
gɑɽi,monkey,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN35_M_monkey_2.mp3
gɑɽi,monkey,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult27a_M_monkey.mp3
gɑte,friend,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU37_F_friend.mp3
geɖe,duck,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN15_M_duck.mp3
gəpɑ,tomorrow,adverb,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adv2_F_tomorrow_2.mp3
gɛl,ten,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num10_M_ten.mp3
gɛl ɑrɛ,nineteen,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num19_M_nineteen.mp3
gɛl bɑr,twelve,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num12_F_twelve.mp3
gɛl iɑi,seventeen,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num17_F_seventeen_2.mp3
gɛl irɛl,eighteen,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num18_M_eighteen.mp3
gɛl mit’,eleven,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num11_F_eleven.mp3
gɛl mɔɽɛ,fifteen,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num15_M_fifteen.mp3
gɛl pe,thirteen,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num13_F_thirteen.mp3
gɛl pun,fourteen,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num14_F_fourteen.mp3
gɛl sɑi,onethousand,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num1000_M_onethousand.mp3
gɛl t(ə)rui,sixteen,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Num16_F_sixteen.mp3
gidrə,child,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU32_F_child.mp3
gidrə,child,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU32_F_child.mp3
gobri,stomach,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP50_G_stomach_2.mp3
goc’,dead,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj19_F_dead.mp3
goc’ hɔɽ,deadbody,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU40_M_deadbody.mp3
goɖet,shaman,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU42_F_shaman.mp3
guɖu,rat,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN40_F_rat_2.mp3
gujuʔ,death,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_O1_M_death.mp3
hɑku,fish,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN21_F_fish.mp3
hɑnɑriɲ buɽi ~ hɑnhɑriɲ buɽhi,mother-in-law,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU31_F_motherinlaw_2.mp3
hɑrtɑ,skin,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP51_G_skin_3.mp3
hɑɽɑm,oldperson,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU34_M_oldperson.mp3
hɑɽɑm bɑ,grandfather,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU13a_F_grandfather.mp3
hɑɽɑm hɔɽ,old(person),adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj46_F_oldperson_2.mp3
hɑ̃ɽu,blackmonkey,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult27b_F_blackmonkey_2.mp3
hɑsup’,pain,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_O5_M_pain_2.mp3
hɑtɑŋ,brain,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP11_G_brain.mp3
hɑti ɖɑʈɑ,elephanttusk,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN48b_F_elephanttusk.mp3
hɑtlɑʔ,armpit,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP20_G_armpit.mp3
hɑʈɑʔ,winnowingfan,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult36_M_winnowingfan.mp3
hɑu,redant,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN41_M_redant.mp3
heɖet’,boiled,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj10_F_boiled.mp3
hende,black,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Col1_F_black.mp3
heɽɛm,sweet,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj66_F_sweet.mp3
hərta,Skin,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_GRM_Skin.mp3
